CODE,CODE_ORIG,CODE_DESCRIPTION
O360130,O36.0130,"Maternal care for anti-D [Rh] antibodies, third trimester, not applicable or unspecified"
S31000A,S31.000A,"Unspecified open wound of lower back and pelvis without penetration into retroperitoneum, initial encounter"
S31010A,S31.010A,"Laceration without foreign body of lower back and pelvis without penetration into retroperitoneum, initial encounter"
S31102A,S31.102A,"Unspecified open wound of abdominal wall, epigastric region without penetration into peritoneal cavity, initial encounter"
S31109A,S31.109A,"Unspecified open wound of abdominal wall, unspecified quadrant without penetration into peritoneal cavity, initial encounter"
S31119A,S31.119A,"Laceration without foreign body of abdominal wall, unspecified quadrant without penetration into peritoneal cavity, initial encounter"
S31809A,S31.809A,"Unspecified open wound of unspecified buttock, initial encounter"
S31811A,S31.811A,"Laceration without foreign body of right buttock, initial encounter"
S31821A,S31.821A,"Laceration without foreign body of left buttock, initial encounter"
S31829A,S31.829A,"Unspecified open wound of left buttock, initial encounter"
S31829D,S31.829D,"Unspecified open wound of left buttock, subsequent encounter"
S32000D,S32.000D,"Wedge compression fracture of unspecified lumbar vertebra, subsequent encounter for fracture with routine healing"
S32000S,S32.000S,"Wedge compression fracture of unspecified lumbar vertebra, sequela"
S32009A,S32.009A,"Unspecified fracture of unspecified lumbar vertebra, initial encounter for closed fracture"
S32009D,S32.009D,"Unspecified fracture of unspecified lumbar vertebra, subsequent encounter for fracture with routine healing"
S32010A,S32.010A,"Wedge compression fracture of first lumbar vertebra, initial encounter for closed fracture"
S32011A,S32.011A,"Stable burst fracture of first lumbar vertebra, initial encounter for closed fracture"
S32011D,S32.011D,"Stable burst fracture of first lumbar vertebra, subsequent encounter for fracture with routine healing"
S32018A,S32.018A,"Other fracture of first lumbar vertebra, initial encounter for closed fracture"
S32019A,S32.019A,"Unspecified fracture of first lumbar vertebra, initial encounter for closed fracture"
S32020A,S32.020A,"Wedge compression fracture of second lumbar vertebra, initial encounter for closed fracture"
S32020D,S32.020D,"Wedge compression fracture of second lumbar vertebra, subsequent encounter for fracture with routine healing"
S32028A,S32.028A,"Other fracture of second lumbar vertebra, initial encounter for closed fracture"
S32028D,S32.028D,"Other fracture of second lumbar vertebra, subsequent encounter for fracture with routine healing"
S32030A,S32.030A,"Wedge compression fracture of third lumbar vertebra, initial encounter for closed fracture"
S32038A,S32.038A,"Other fracture of third lumbar vertebra, initial encounter for closed fracture"
S32039A,S32.039A,"Unspecified fracture of third lumbar vertebra, initial encounter for closed fracture"
S32040A,S32.040A,"Wedge compression fracture of fourth lumbar vertebra, initial encounter for closed fracture"
S32049A,S32.049A,"Unspecified fracture of fourth lumbar vertebra, initial encounter for closed fracture"
S32050A,S32.050A,"Wedge compression fracture of fifth lumbar vertebra, initial encounter for closed fracture"
S32050D,S32.050D,"Wedge compression fracture of fifth lumbar vertebra, subsequent encounter for fracture with routine healing"
S3210XA,S32.10XA,"Unspecified fracture of sacrum, initial encounter for closed fracture"
S3219XA,S32.19XA,"Other fracture of sacrum, initial encounter for closed fracture"
S322XXA,S32.2XXA,"Fracture of coccyx, initial encounter for closed fracture"
S322XXS,S32.2XXS,"Fracture of coccyx, sequela"
S32392D,S32.392D,"Other fracture of left ilium, subsequent encounter for fracture with routine healing"
S51852D,S51.852D,"Open bite of left forearm, subsequent encounter"
S52002D,S52.002D,"Unspecified fracture of upper end of left ulna, subsequent encounter for closed fracture with routine healing"
S52022A,S52.022A,"Displaced fracture of olecranon process without intraarticular extension of left ulna, initial encounter for closed fracture"
S52022D,S52.022D,"Displaced fracture of olecranon process without intraarticular extension of left ulna, subsequent encounter for closed fracture with routine healing"
S52025A,S52.025A,"Nondisplaced fracture of olecranon process without intraarticular extension of left ulna, initial encounter for closed fracture"
S52041A,S52.041A,"Displaced fracture of coronoid process of right ulna, initial encounter for closed fracture"
S52122A,S52.122A,"Displaced fracture of head of left radius, initial encounter for closed fracture"
S52124A,S52.124A,"Nondisplaced fracture of head of right radius, initial encounter for closed fracture"
S52124D,S52.124D,"Nondisplaced fracture of head of right radius, subsequent encounter for closed fracture with routine healing"
S52132D,S52.132D,"Displaced fracture of neck of left radius, subsequent encounter for closed fracture with routine healing"
S52222D,S52.222D,"Displaced transverse fracture of shaft of left ulna, subsequent encounter for closed fracture with routine healing"
S62634A,S62.634A,"Displaced fracture of distal phalanx of right ring finger, initial encounter for closed fracture"
S62634D,S62.634D,"Displaced fracture of distal phalanx of right ring finger, subsequent encounter for fracture with routine healing"
S62637A,S62.637A,"Displaced fracture of distal phalanx of left little finger, initial encounter for closed fracture"
S62637B,S62.637B,"Displaced fracture of distal phalanx of left little finger, initial encounter for open fracture"
S62642D,S62.642D,"Nondisplaced fracture of proximal phalanx of right middle finger, subsequent encounter for fracture with routine healing"
S62652A,S62.652A,"Nondisplaced fracture of middle phalanx of right middle finger, initial encounter for closed fracture"
S62664A,S62.664A,"Nondisplaced fracture of distal phalanx of right ring finger, initial encounter for closed fracture"
S63,S63,Dislocation and sprain of joints and ligaments at wrist and hand level
S63005D,S63.005D,"Unspecified dislocation of left wrist and hand, subsequent encounter"
S63244A,S63.244A,"Subluxation of distal interphalangeal joint of right ring finger, initial encounter"
S63257A,S63.257A,"Unspecified dislocation of left little finger, initial encounter"
S82042A,S82.042A,"Displaced comminuted fracture of left patella, initial encounter for closed fracture"
S82101A,S82.101A,"Unspecified fracture of upper end of right tibia, initial encounter for closed fracture"
S82143A,S82.143A,"Displaced bicondylar fracture of unspecified tibia, initial encounter for closed fracture"
S72142A,S72.142A,"Displaced intertrochanteric fracture of left femur, initial encounter for closed fracture"
S72142D,S72.142D,"Displaced intertrochanteric fracture of left femur, subsequent encounter for closed fracture with routine healing"
S72142S,S72.142S,"Displaced intertrochanteric fracture of left femur, sequela"
S72143A,S72.143A,"Displaced intertrochanteric fracture of unspecified femur, initial encounter for closed fracture"
S72145A,S72.145A,"Nondisplaced intertrochanteric fracture of left femur, initial encounter for closed fracture"
S7222XA,S72.22XA,"Displaced subtrochanteric fracture of left femur, initial encounter for closed fracture"
S7222XD,S72.22XD,"Displaced subtrochanteric fracture of left femur, subsequent encounter for closed fracture with routine healing"
S7222XS,S72.22XS,"Displaced subtrochanteric fracture of left femur, sequela"
S7225XD,S72.25XD,"Nondisplaced subtrochanteric fracture of left femur, subsequent encounter for closed fracture with routine healing"
S72402A,S72.402A,"Unspecified fracture of lower end of left femur, initial encounter for closed fracture"
S72412A,S72.412A,"Displaced unspecified condyle fracture of lower end of left femur, initial encounter for closed fracture"
S72415A,S72.415A,"Nondisplaced unspecified condyle fracture of lower end of left femur, initial encounter for closed fracture"
S72422D,S72.422D,"Displaced fracture of lateral condyle of left femur, subsequent encounter for closed fracture with routine healing"
T17890A,T17.890A,"Other foreign object in other parts of respiratory tract causing asphyxiation, initial encounter"
T17920A,T17.920A,"Food in respiratory tract, part unspecified causing asphyxiation, initial encounter"
T17928A,T17.928A,"Food in respiratory tract, part unspecified causing other injury, initial encounter"
T182XXA,T18.2XXA,"Foreign body in stomach, initial encounter"
T184XXA,T18.4XXA,"Foreign body in colon, initial encounter"
T189XXA,T18.9XXA,"Foreign body of alimentary tract, part unspecified, initial encounter"
T192XXA,T19.2XXA,"Foreign body in vulva and vagina, initial encounter"
T2105XA,T21.05XA,"Burn of unspecified degree of buttock, initial encounter"
T2122XA,T21.22XA,"Burn of second degree of abdominal wall, initial encounter"
T22232A,T22.232A,"Burn of second degree of left upper arm, initial encounter"
T22232S,T22.232S,"Burn of second degree of left upper arm, sequela"
G243,G24.3,Spasmodic torticollis
G245,G24.5,Blepharospasm
G248,G24.8,Other dystonia
G249,G24.9,"Dystonia, unspecified"
G250,G25.0,Essential tremor
G252,G25.2,Other specified forms of tremor
G253,G25.3,Myoclonus
G2569,G25.69,Other tics of organic origin
G2581,G25.81,Restless legs syndrome
G300,G30.0,Alzheimer's disease with early onset
G301,G30.1,Alzheimer's disease with late onset
G308,G30.8,Other Alzheimer's disease
G309,G30.9,"Alzheimer's disease, unspecified"
G3109,G31.09,Other frontotemporal dementia
G3184,G31.84,"Mild cognitive impairment, so stated"
G3189,G31.89,Other specified degenerative diseases of nervous system
G319,G31.9,"Degenerative disease of nervous system, unspecified"
G3281,G32.81,Cerebellar ataxia in diseases classified elsewhere
G35,G35,Multiple sclerosis
G373,G37.3,Acute transverse myelitis in demyelinating disease of central nervous system
G378,G37.8,Other specified demyelinating diseases of central nervous system
G379,G37.9,"Demyelinating disease of central nervous system, unspecified"
G40001,G40.001,"Localization-related (focal) (partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset, not intractable, with status epilepticus"
G40009,G40.009,"Localization-related (focal) (partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset, not intractable, without status epilepticus"
G40209,G40.209,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures, not intractable, without status epilepticus"
G40309,G40.309,"Generalized idiopathic epilepsy and epileptic syndromes, not intractable, without status epilepticus"
G40409,G40.409,"Other generalized epilepsy and epileptic syndromes, not intractable, without status epilepticus"
G4089,G40.89,Other seizures
G40901,G40.901,"Epilepsy, unspecified, not intractable, with status epilepticus"
G40909,G40.909,"Epilepsy, unspecified, not intractable, without status epilepticus"
G40919,G40.919,"Epilepsy, unspecified, intractable, without status epilepticus"
G40A09,G40.A09,"Absence epileptic syndrome, not intractable, without status epilepticus"
G40B09,G40.B09,"Juvenile myoclonic epilepsy, not intractable, without status epilepticus"
G43001,G43.001,"Migraine without aura, not intractable, with status migrainosus"
G43009,G43.009,"Migraine without aura, not intractable, without status migrainosus"
G43011,G43.011,"Migraine without aura, intractable, with status migrainosus"
G43019,G43.019,"Migraine without aura, intractable, without status migrainosus"
G43101,G43.101,"Migraine with aura, not intractable, with status migrainosus"
G43109,G43.109,"Migraine with aura, not intractable, without status migrainosus"
G43111,G43.111,"Migraine with aura, intractable, with status migrainosus"
G43401,G43.401,"Hemiplegic migraine, not intractable, with status migrainosus"
G43409,G43.409,"Hemiplegic migraine, not intractable, without status migrainosus"
G43509,G43.509,"Persistent migraine aura without cerebral infarction, not intractable, without status migrainosus"
G43709,G43.709,"Chronic migraine without aura, not intractable, without status migrainosus"
G43711,G43.711,"Chronic migraine without aura, intractable, with status migrainosus"
G43719,G43.719,"Chronic migraine without aura, intractable, without status migrainosus"
G43801,G43.801,"Other migraine, not intractable, with status migrainosus"
G43809,G43.809,"Other migraine, not intractable, without status migrainosus"
G43811,G43.811,"Other migraine, intractable, with status migrainosus"
G43829,G43.829,"Menstrual migraine, not intractable, without status migrainosus"
G43901,G43.901,"Migraine, unspecified, not intractable, with status migrainosus"
G43909,G43.909,"Migraine, unspecified, not intractable, without status migrainosus"
G43911,G43.911,"Migraine, unspecified, intractable, with status migrainosus"
G43919,G43.919,"Migraine, unspecified, intractable, without status migrainosus"
G43A0,G43.A0,"Cyclical vomiting, in migraine, not intractable"
G43A1,G43.A1,"Cyclical vomiting, in migraine, intractable"
G43B0,G43.B0,"Ophthalmoplegic migraine, not intractable"
G43C0,G43.C0,"Periodic headache syndromes in child or adult, not intractable"
G43C1,G43.C1,"Periodic headache syndromes in child or adult, intractable"
G44009,G44.009,"Cluster headache syndrome, unspecified, not intractable"
G44011,G44.011,"Episodic cluster headache, intractable"
